"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"mina",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,17,0,0,0,7,0,0,0,0,0,0,0
"no-band",0,1,7,0,0,7,0,3,0,401,0,1,0,31,0,1,1,0,0,0,72,0,2,2,0,0,4,236,0,1,0,0,0,0,3,64,0,3,26,0,1,0,3,0,0,0,4,33,0,0,0,0,1,6,0,0,0,19,1,27,4,40,0,0,19,2,0,3,0,0,0,8,1,1,0,0,0,17,0,2,0,2,25,0,0,0,0,15,0,0,0,0,3,0,0
"ola",0,8,26,9,20,101,1,14,0,908,0,10,0,108,0,25,0,0,0,2,75,0,0,2,0,0,245,915,0,2,0,0,0,0,1,61,0,19,34,4,0,0,27,1,0,1,7,980,0,0,0,0,13,2,6,0,0,1095,0,130,3,258,1,0,132,102,0,14,0,0,0,67,5,0,0,95,3,1216,0,0,0,6,27,2,0,0,0,59,0,0,0,0,1,0,2
"opal",0,2,34,6,2,33,1,2,0,1566,8,1,0,29,0,0,0,0,0,6,445,0,0,0,0,0,2,298,0,7,0,0,0,23,2,92,0,110,7,0,1,1,2,0,2,39,8,115,0,0,0,0,20,149,62,1,0,0,3122,1138,1143,20,0,0,26,6,0,2,0,0,0,34,0,735,0,0,1,28,0,66,0,44,128,1,0,5,0,112,0,0,0,0,28,0,111
"piper",1,21,96,13,137,673,5,154,0,2097,7,40,0,19,0,0,0,0,0,3,193,1,0,0,0,4,275,668,0,7,0,1,0,57,6,1706,0,70,159,47,2,0,187,0,3,126,114,620,0,0,0,5,24,82,43,0,0,69,217,27888,682,1128,3,11,294,9,0,27,0,0,0,195,1,1096,0,4,17,365,0,34,0,1,188,8,0,0,1,64,0,0,0,0,36,0,594
"queen",0,380,91,4,5,65,2,16,0,3555,10,4,0,9,0,0,0,0,1,259,2503,0,3,0,0,0,30,1541,1,82,0,0,0,38,1,19,2,107,14,1,8,2,9,0,77,253,11,20,0,1,0,0,313,322,112,3,0,0,961,490,17281,1,0,0,44,0,0,1,0,0,0,31,1,435,1,0,3,13,0,62,0,21,60,21,1,75,0,470,0,0,0,0,71,0,47
"r",1,101,135,34,20,86,12,26,0,763,1,109,0,28,1,2,2,0,4,8,1748,8,0,5,0,0,89,577,0,152,0,1,0,3,32,1657,0,7,292,59,6,0,191,0,35,44,289,291,0,0,0,1,35,26,13,1,0,84,13,662,210,6395,4,0,909,15,0,17,0,0,0,119,5,12,0,1,10,71,0,12,0,11,45,12,0,4,0,93,0,8,0,4,77,0,77
"rc",0,2,0,1,78,21,1,2,0,38,0,2,0,1,0,3,0,0,0,0,28,0,0,11,0,0,248,138,1,2,0,0,0,1,0,26,0,3,3,4,3,0,4,0,0,0,0,123,0,0,0,2,10,0,11,1,0,9,2,74,7,2,8,0,24,3,0,0,0,0,0,7,42,31,0,0,1,45,0,2,0,0,7,12,0,0,0,1,0,0,1,0,7,0,3
"rina",0,3,4,4,7,37,1,2,0,11,0,0,0,9,0,0,0,0,0,32,54,0,0,0,0,0,16,50,0,3,0,0,0,4,2,48,0,36,0,2,1,0,5,0,4,0,4,6,0,0,0,0,2,4,2,0,0,2,14,233,60,5,0,24,5,0,0,0,0,0,0,4,7,304,0,0,6,0,0,3,0,2,1,7,0,1,0,3,0,0,0,0,13,0,8
"s",0,211,534,228,232,59,27,135,0,4115,126,130,1,6,1,15,3,0,3,8,1992,11,0,2,4,4,415,826,4,12,0,4,0,0,22,229,0,38,197,77,6,0,14,29,19,4,57,302,1,2,0,0,298,17,160,2,0,69,2,1075,63,848,20,0,6863,1,0,5,0,0,0,528,31,22,0,17,17,1316,0,2,0,3,112,24,0,0,0,84,0,1,1,13,13,1,94
