"dyad","dyad.sex","bat1","bat2","both_zoo","both_wild","both_adult","both_young","study_site","treatment_rank","treatment_label","kinship","kinship2","donation.rate","donation.lograte","groom.rate","groom.lograte","affiliation.rate","affiliation.lograte","dist","sim"
"bat1_dd","female","bat1","dd",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.99023792888917,0.41753235802832
"bat1_ddld","female","bat1","ddld",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.6443697406581,0.451163247222287
"bat1_dr","female","bat1","dr",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.45281543107708,0.469789249784402
"bat1_ds","female","bat1","ds",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.34141964060876,0.383384802295618
"bat1_esther","female","bat1","esther",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.97070277558523,0.419431881021493
"bat1_eve","female","bat1","eve",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.72341964178078,0.346240594910669
"bat1_falcon","mixed_sex","bat1","falcon",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.07136022168285,0.409644339028775
"bat1_flapper","mixed_sex","bat1","flapper",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.5,"0.25-0.5",NA,NA,NA,NA,NA,NA,6.47576633750913,0.370321447437399
"bat1_fran","female","bat1","fran",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.98893964106835,0.417658598530713
"bat1_gayle","female","bat1","gayle",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.47244374261704,0.370644523755067
"bat1_gremlin","mixed_sex","bat1","gremlin",TRUE,FALSE,FALSE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.0647,"0.01-0.249",NA,NA,NA,NA,NA,NA,5.89046880480889,0.42723352301283
"bat1_hera","female","bat1","hera",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.25249236329353,0.392031747899391
"bat1_hilga","female","bat1","hilga",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.69359300444512,0.446376966822655
"bat1_houdini","mixed_sex","bat1","houdini",TRUE,FALSE,FALSE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0,"0",NA,NA,NA,NA,NA,NA,5.83730642148999,0.432402828209209
"bat1_hulk","mixed_sex","bat1","hulk",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.80901571762063,0.435153707183988
"bat1_irma","female","bat1","irma",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.19683606261953,0.397443552004552
"bat1_ivy","female","bat1","ivy",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.56317666244953,0.459058149122676
